,S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_VOLUME
208,000300.SH,20101116,3311.616,3311.616,3155.475,3169.538,108307072.0
209,000300.SH,20101117,3124.109,3168.931,3087.507,3103.906,83258080.0
210,000300.SH,20101118,3134.937,3158.629,3097.388,3147.962,65697292.0
211,000300.SH,20101119,3168.165,3178.846,3076.213,3178.846,83347654.0
212,000300.SH,20101122,3148.215,3200.472,3137.751,3171.941,83212776.0
213,000300.SH,20101123,3156.478,3156.478,3061.623,3107.176,77399591.0
214,000300.SH,20101124,3088.992,3177.412,3088.992,3177.043,75332083.0
215,000300.SH,20101125,3197.965,3227.054,3172.282,3223.484,83442094.0
216,000300.SH,20101126,3214.132,3224.517,3170.364,3194.853,64467824.0
217,000300.SH,20101129,3183.54,3206.756,3159.459,3190.05,58994892.0
218,000300.SH,20101130,3187.529,3205.782,3060.438,3136.985,85762355.0
219,000300.SH,20101201,3127.262,3150.436,3111.645,3136.024,48882668.0
220,000300.SH,20101202,3185.76,3194.226,3154.32,3155.059,61023908.0
221,000300.SH,20101203,3161.93,3171.378,3134.419,3158.156,50475354.0
222,000300.SH,20101206,3168.875,3185.332,3140.555,3165.57,56362630.0
223,000300.SH,20101207,3152.733,3214.691,3112.223,3200.339,58483653.0
224,000300.SH,20101208,3194.895,3215.281,3166.766,3171.882,59515663.0
225,000300.SH,20101209,3155.996,3175.052,3122.196,3123.366,66152965.0
226,000300.SH,20101210,3107.379,3172.163,3101.083,3161.977,57108105.0
227,000300.SH,20101213,3176.335,3261.344,3173.564,3261.061,95713739.0
228,000300.SH,20101214,3270.201,3279.365,3254.181,3269.474,84104241.0
229,000300.SH,20101215,3270.781,3282.772,3242.516,3247.644,72269785.0
230,000300.SH,20101216,3246.013,3258.394,3224.122,3230.665,56799625.0
231,000300.SH,20101217,3229.297,3232.839,3212.579,3225.661,44919147.0
232,000300.SH,20101220,3239.022,3249.763,3117.998,3178.657,74759693.0
233,000300.SH,20101221,3184.7,3251.551,3168.889,3249.509,79852420.0
234,000300.SH,20101222,3253.821,3263.45,3201.669,3215.453,69936258.0
235,000300.SH,20101223,3210.67,3237.644,3183.152,3188.607,61315847.0
236,000300.SH,20101224,3170.642,3187.724,3139.454,3162.955,55137767.0
237,000300.SH,20101227,3176.107,3219.655,3092.263,3099.709,70017107.0
238,000300.SH,20101228,3084.823,3095.358,3041.328,3044.931,56325749.0
239,000300.SH,20101229,3049.928,3062.557,3025.22,3061.83,45192775.0
240,000300.SH,20101230,3063.05,3079.909,3027.898,3064.098,54281429.0
241,000300.SH,20101231,3069.053,3129.446,3067.108,3128.261,62566078.0
242,000300.SH,20110104,3155.557,3194.358,3143.604,3189.682,85410440.0
243,000300.SH,20110105,3170.181,3193.779,3158.871,3175.662,79268810.0
244,000300.SH,20110106,3177.835,3198.052,3152.572,3159.643,59681092.0
245,000300.SH,20110107,3156.362,3209.9,3141.125,3166.624,84093233.0
246,000300.SH,20110110,3162.085,3182.782,3102.428,3108.187,65494406.0
247,000300.SH,20110111,3096.249,3131.292,3084.513,3124.922,56985917.0
248,000300.SH,20110112,3135.18,3153.43,3099.413,3142.337,58498518.0
249,000300.SH,20110113,3153.985,3157.036,3127.158,3141.284,51936988.0
250,000300.SH,20110114,3129.667,3129.667,3083.511,3091.862,53351439.0
251,000300.SH,20110117,3067.433,3078.88,2968.61,2974.35,66807562.0
252,000300.SH,20110118,2965.424,2984.47,2947.6,2977.648,42964564.0
253,000300.SH,20110119,2978.457,3045.605,2967.243,3044.851,56571942.0
254,000300.SH,20110120,3037.862,3037.862,2944.498,2944.713,61046643.0
255,000300.SH,20110121,2935.233,3030.265,2935.138,2983.456,73102966.0
256,000300.SH,20110124,2986.092,2999.201,2943.92,2954.232,65472545.0
257,000300.SH,20110125,2949.647,2960.587,2919.162,2938.654,48982689.0
258,000300.SH,20110126,2939.773,2982.322,2939.356,2978.431,43374979.0
259,000300.SH,20110127,2953.589,3037.159,2935.271,3026.466,82585919.0
260,000300.SH,20110128,3020.122,3047.266,3011.375,3036.735,63013589.0
261,000300.SH,20110131,3035.418,3076.547,3032.449,3076.508,67105914.0
262,000300.SH,20110201,3083.493,3087.225,3062.83,3077.283,49862530.0
263,000300.SH,20110209,3055.398,3087.551,3031.749,3040.949,60394145.0
264,000300.SH,20110210,3034.079,3105.324,3024.349,3104.163,66603662.0
265,000300.SH,20110211,3100.274,3133.499,3092.582,3120.956,75975553.0
266,000300.SH,20110214,3123.246,3227.432,3123.246,3219.143,121302331.0
267,000300.SH,20110215,3223.222,3259.639,3215.619,3217.671,109554438.0
268,000300.SH,20110216,3211.135,3248.849,3195.467,3248.527,91334283.0
269,000300.SH,20110217,3255.626,3265.257,3218.913,3245.907,88964695.0
270,000300.SH,20110218,3240.051,3242.374,3203.12,3211.876,75378684.0
271,000300.SH,20110221,3192.146,3258.28,3189.848,3257.908,79399776.0
272,000300.SH,20110222,3267.615,3269.048,3161.833,3163.578,107863741.0
273,000300.SH,20110223,3152.441,3182.185,3145.986,3174.742,71324854.0
274,000300.SH,20110224,3170.236,3195.688,3157.969,3190.935,66486893.0
275,000300.SH,20110225,3190.872,3213.792,3159.847,3197.617,61619275.0
276,000300.SH,20110228,3200.677,3241.597,3178.831,3239.559,76630663.0
277,000300.SH,20110301,3241.714,3273.511,3235.754,3254.893,88566954.0
278,000300.SH,20110302,3237.116,3257.419,3202.833,3243.298,80910641.0
279,000300.SH,20110303,3248.156,3271.64,3221.038,3221.718,101219997.0
280,000300.SH,20110304,3223.507,3273.658,3217.477,3270.666,80013915.0
281,000300.SH,20110307,3287.405,3337.466,3287.405,3334.51,118187197.0
282,000300.SH,20110308,3335.71,3342.711,3311.722,3337.457,84878655.0
283,000300.SH,20110309,3344.1,3355.487,3322.698,3338.858,78026361.0
284,000300.SH,20110310,3330.444,3330.444,3279.33,3280.259,78212642.0
285,000300.SH,20110311,3263.081,3290.7,3240.181,3247.376,67208335.0
286,000300.SH,20110314,3238.905,3263.906,3230.114,3262.92,63689783.0
287,000300.SH,20110315,3250.595,3250.595,3147.957,3203.961,96033979.0
288,000300.SH,20110316,3204.919,3250.878,3202.931,3248.195,78859520.0
289,000300.SH,20110317,3216.288,3240.381,3185.084,3197.1,85687114.0
290,000300.SH,20110318,3228.915,3239.963,3205.144,3215.685,61340161.0
291,000300.SH,20110321,3220.677,3236.279,3194.145,3207.11,59105037.0
292,000300.SH,20110322,3217.8,3227.797,3175.93,3222.961,57248684.0
293,000300.SH,20110323,3222.325,3267.004,3216.653,3264.926,72077585.0
294,000300.SH,20110324,3269.575,3273.37,3250.023,3251.361,61304244.0
295,000300.SH,20110325,3256.179,3304.264,3254.683,3294.484,86895979.0
296,000300.SH,20110328,3307.405,3328.07,3286.856,3290.571,97684300.0
297,000300.SH,20110329,3288.564,3309.199,3256.337,3257.979,105280164.0
298,000300.SH,20110330,3256.722,3274.977,3233.109,3256.08,78336337.0
299,000300.SH,20110331,3257.164,3264.956,3210.174,3223.288,64503880.0
300,000300.SH,20110401,3227.564,3272.768,3220.911,3272.729,63094722.0
301,000300.SH,20110406,3269.19,3315.299,3268.765,3311.067,105823674.0
302,000300.SH,20110407,3313.467,3330.805,3302.818,3324.419,84681762.0
303,000300.SH,20110408,3321.54,3353.889,3314.089,3353.358,73929210.0
304,000300.SH,20110411,3363.37,3380.527,3331.174,3333.427,104420545.0
305,000300.SH,20110412,3324.754,3350.156,3307.476,3326.771,101938506.0
306,000300.SH,20110413,3311.324,3372.031,3296.507,3372.031,87036338.0
307,000300.SH,20110414,3374.324,3378.703,3347.488,3353.56,88972241.0
308,000300.SH,20110415,3345.134,3378.106,3323.563,3358.944,78514874.0
309,000300.SH,20110418,3346.149,3372.9,3335.599,3359.438,86582624.0
310,000300.SH,20110419,3334.912,3334.912,3290.736,3295.812,85106933.0
311,000300.SH,20110420,3300.418,3311.725,3281.827,3295.758,72343318.0
312,000300.SH,20110421,3312.271,3330.244,3301.936,3317.367,73240424.0
313,000300.SH,20110422,3317.083,3325.459,3291.638,3299.942,67171455.0
314,000300.SH,20110425,3292.48,3292.48,3247.691,3249.574,74421829.0
315,000300.SH,20110426,3242.529,3257.8,3216.21,3230.96,59096417.0
316,000300.SH,20110427,3242.619,3256.413,3189.04,3209.503,62443567.0
317,000300.SH,20110428,3224.413,3237.192,3160.406,3161.776,65050235.0
318,000300.SH,20110429,3161.158,3193.599,3147.137,3192.723,53683065.0
319,000300.SH,20110503,3192.845,3212.055,3164.926,3211.132,54998910.0
320,000300.SH,20110504,3192.844,3193.446,3120.961,3129.028,66716340.0
321,000300.SH,20110505,3115.003,3136.897,3105.854,3126.117,52567747.0
322,000300.SH,20110506,3093.809,3141.683,3083.908,3121.396,55352186.0
